Direction,Year,Date,Country,Product,Transport_mode,Measure,Value
Exports,2015,01/06/2015,All,All,All,$,164000000
Exports,2015,02/06/2015,All,All,All,$,128000000
Exports,2015,03/06/2015,All,All,All,$,61000000
Exports,2015,04/06/2015,All,All,All,$,114000000
Exports,2015,05/06/2015,All,All,All,$,168000000
Exports,2015,06/06/2015,All,All,All,$,83000000
Exports,2015,07/06/2015,All,All,All,$,161000000
Exports,2015,08/06/2015,All,All,All,$,188000000
Exports,2015,09/06/2015,All,All,All,$,93000000
Exports,2015,10/06/2015,All,All,All,$,70000000
Exports,2015,11/06/2015,All,All,All,$,162000000
Exports,2015,12/06/2015,All,All,All,$,119000000
Exports,2015,13/06/2015,All,All,All,$,109000000
Exports,2015,14/06/2015,All,All,All,$,108000000
Exports,2015,15/06/2015,All,All,All,$,217000000
Exports,2015,16/06/2015,All,All,All,$,104000000
Exports,2015,17/06/2015,All,All,All,$,173000000
Exports,2015,18/06/2015,All,All,All,$,144000000
Exports,2015,19/06/2015,All,All,All,$,209000000
Exports,2015,20/06/2015,All,All,All,$,102000000
Exports,2015,21/06/2015,All,All,All,$,174000000
Exports,2015,22/06/2015,All,All,All,$,219000000
Exports,2015,23/06/2015,All,All,All,$,103000000
Exports,2015,24/06/2015,All,All,All,$,79000000
Exports,2015,25/06/2015,All,All,All,$,145000000
Exports,2015,26/06/2015,All,All,All,$,144000000
Exports,2015,27/06/2015,All,All,All,$,93000000
Exports,2015,28/06/2015,All,All,All,$,110000000
Exports,2015,29/06/2015,All,All,All,$,249000000
Exports,2015,30/06/2015,All,All,All,$,155000000
Exports,2015,01/07/2015,All,All,All,$,82000000
Exports,2016,30/01/2016,All,All,All,$,264000000
Exports,2016,31/01/2016,All,All,All,$,216000000
Exports,2016,01/02/2016,All,All,All,$,218000000
Exports,2016,02/02/2016,All,All,All,$,91000000
Exports,2016,03/02/2016,All,All,All,$,94000000
Exports,2016,04/02/2016,All,All,All,$,112000000
Exports,2016,05/02/2016,All,All,All,$,162000000
Exports,2016,06/02/2016,All,All,All,$,114000000
Exports,2016,07/02/2016,All,All,All,$,118000000
Exports,2016,08/02/2016,All,All,All,$,188000000
Exports,2016,09/02/2016,All,All,All,$,90000000
Exports,2016,10/02/2016,All,All,All,$,38000000
Exports,2016,11/02/2016,All,All,All,$,124000000
Exports,2016,12/02/2016,All,All,All,$,171000000
Exports,2016,13/02/2016,All,All,All,$,201000000
Exports,2016,14/02/2016,All,All,All,$,144000000
Exports,2016,15/02/2016,All,All,All,$,213000000
Exports,2016,16/02/2016,All,All,All,$,73000000
Exports,2016,17/02/2016,All,All,All,$,75000000
Exports,2016,18/02/2016,All,All,All,$,164000000
Exports,2016,19/02/2016,All,All,All,$,122000000
Exports,2016,20/02/2016,All,All,All,$,367000000
Exports,2016,21/02/2016,All,All,All,$,171000000
Exports,2016,22/02/2016,All,All,All,$,143000000
Exports,2016,23/02/2016,All,All,All,$,102000000
Exports,2016,24/02/2016,All,All,All,$,61000000
Exports,2016,25/02/2016,All,All,All,$,122000000
Exports,2016,26/02/2016,All,All,All,$,163000000
Exports,2016,27/02/2016,All,All,All,$,175000000
Exports,2016,28/02/2016,All,All,All,$,184000000
Exports,2016,29/02/2016,All,All,All,$,237000000
Exports,2016,01/03/2016,All,All,All,$,118000000
Exports,2016,02/03/2016,All,All,All,$,89000000
Exports,2016,03/03/2016,All,All,All,$,145000000
Exports,2016,04/03/2016,All,All,All,$,168000000
Exports,2016,05/03/2016,All,All,All,$,109000000
Exports,2016,06/03/2016,All,All,All,$,142000000
Exports,2016,07/03/2016,All,All,All,$,163000000
Exports,2016,08/03/2016,All,All,All,$,103000000
Exports,2016,09/03/2016,All,All,All,$,57000000
Exports,2016,10/03/2016,All,All,All,$,163000000
Exports,2016,11/03/2016,All,All,All,$,122000000
Exports,2016,12/03/2016,All,All,All,$,193000000
Exports,2016,13/03/2016,All,All,All,$,186000000
Exports,2016,14/03/2016,All,All,All,$,160000000
Exports,2016,15/03/2016,All,All,All,$,107000000
Exports,2016,16/03/2016,All,All,All,$,81000000
Exports,2016,17/03/2016,All,All,All,$,145000000
Exports,2016,18/03/2016,All,All,All,$,189000000
Exports,2016,19/03/2016,All,All,All,$,98000000
Exports,2016,20/03/2016,All,All,All,$,125000000
Exports,2016,21/03/2016,All,All,All,$,139000000
Exports,2016,22/03/2016,All,All,All,$,84000000
Exports,2016,23/03/2016,All,All,All,$,50000000
Exports,2016,24/03/2016,All,All,All,$,204000000
